,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Waipawa,NZ,-41.4122,175.5153,56.03,93,100,8.68,light rain
308,Pemba,MZ,-12.974,40.5178,77.13,84,96,9.13,overcast clouds
309,Lagoa,PT,39.05,-27.9833,57.56,82,84,21.54,broken clouds
310,Clyde River,CA,70.4692,-68.5914,-10.97,70,0,4.61,clear sky
311,Diego De Almagro,CL,-26.3667,-70.05,62.62,45,0,1.23,clear sky
312,Borgarnes,IS,64.5383,-21.9206,27.16,77,100,13.4,light snow
313,Lilongwe,MW,-13.9669,33.7873,64.09,94,100,2.75,light rain
314,Abashiri,JP,44.0213,144.2697,27.95,79,98,12.82,overcast clouds
315,Harper,LR,4.375,-7.7169,77.79,84,79,4.45,light rain
316,Nisia Floresta,BR,-6.0911,-35.2086,77.81,83,14,5.57,few clouds
317,Massaguet,TD,12.4755,15.4365,61.21,23,13,14.38,few clouds
318,Beyneu,KZ,45.3167,55.2,37.51,89,99,7.27,overcast clouds
319,Lavrentiya,RU,65.5833,-171.0,-10.43,84,2,8.72,clear sky
320,Cherskiy,RU,68.75,161.3,-31.59,97,8,4.18,clear sky
321,Tigil,RU,57.8,158.6667,13.78,88,100,4.76,overcast clouds
322,Yavoriv,UA,49.9386,23.3825,36.75,82,100,11.61,overcast clouds
323,Udachnyy,RU,66.4167,112.4,-19.97,99,79,4.41,broken clouds
324,Fallon,US,39.4735,-118.7774,37.42,39,63,2.33,broken clouds
325,Fort-De-France,MQ,14.6089,-61.0733,73.76,94,20,2.3,few clouds
326,Touros,BR,-5.1989,-35.4608,79.57,74,5,11.48,clear sky
327,Pouembout,NC,-21.1333,164.9,82.2,81,100,11.1,heavy intensity rain
328,Dingle,PH,10.9995,122.6711,82.47,70,83,18.01,broken clouds
329,Rafsanjan,IR,30.4067,55.9939,62.06,36,59,16.2,broken clouds
330,Nemuro,JP,43.3236,145.575,27.03,62,38,17.92,scattered clouds
331,Salinas,US,36.6777,-121.6555,54.36,55,0,4.61,clear sky
332,Plettenberg Bay,ZA,-34.0527,23.3716,63.77,73,0,6.24,clear sky
333,Chicama,PE,-7.8447,-79.1469,70.83,76,66,5.26,broken clouds
334,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,2.3,clear sky
335,Grindavik,IS,63.8424,-22.4338,27.07,63,100,31.07,light snow
336,Aktas,KZ,49.7789,72.9608,4.75,68,1,6.26,clear sky
337,Samfya,ZM,-11.3649,29.5565,63.14,94,100,3.96,overcast clouds
338,Steamboat Springs,US,40.485,-106.8317,22.5,68,0,0.0,clear sky
339,Albertville,US,34.2676,-86.2089,31.86,70,100,3.0,overcast clouds
340,Lockhart,US,28.6194,-81.4426,71.69,76,20,4.61,few clouds
