City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,San Isidro,PE,69.39,clear sky,-12.1167,-77.05,Soul Mate-Inn
513,Isiro,CD,66.54,overcast clouds,2.7739,27.616,Guest House Hewa Bora
518,Tena,EC,69.46,moderate rain,-0.9833,-77.8167,Hostal Tena Ñaui
526,Constitucion,CL,57.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
527,Gushikawa,JP,62.6,broken clouds,26.3544,127.8686,Kirari Guest House
541,Maun,BW,67.78,light rain,-19.9833,23.4167,Enviro Villa
545,Geri,CY,50.32,scattered clouds,35.1,33.4167,Latsia Budget Residences
549,Huaicheng,CN,61.12,clear sky,23.9051,112.1931,Tengye Hotel
555,Chuy,UY,68.04,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
569,Torata,PE,57.67,few clouds,-17.0769,-70.8433,Lodging Sra. Tina Vera
579,Hokitika,NZ,58.64,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
583,Comendador,DO,65.62,few clouds,18.8775,-71.7028,Babina De Los Santos
585,Bossangoa,CF,68.18,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
586,Nchelenge,ZM,66.88,overcast clouds,-9.3451,28.734,KD Travellers Home
589,Gorgan,IR,52.05,clear sky,36.8387,54.4348,Khayyam Motel
596,Mandal,IN,64.26,clear sky,25.45,74.5667,Surpanch saab ki vatika
601,Muros,ES,51.24,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
606,Benghazi,LY,55.71,clear sky,32.1167,20.0667,Tibesti Hotel
612,Santiago De Maria,SV,67.03,broken clouds,13.4833,-88.4667,Hotel El Patroon
617,Charagua,BO,69.06,overcast clouds,-19.8,-63.2167,Hotel
628,Shakawe,BW,66.38,broken clouds,-18.3667,21.85,Ditlhapi Guest House
631,Ahvaz,IR,53.55,scattered clouds,31.3203,48.6693,tashrifat tourism travel agency
632,Rio Gallegos,AR,50.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
635,Nishihara,JP,62.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
640,Atar,MR,66.83,few clouds,20.5169,-13.0499,Oumou Elghoura
641,Cintalapa,MX,57.45,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
647,Ghanzi,BW,68.54,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
648,Ouesso,CG,66.11,overcast clouds,1.6136,16.0517,ABENIE Hotel
654,Takaka,NZ,61.97,light rain,-40.85,172.8,Golden Bay Motels
657,Somerset East,ZA,60.6,overcast clouds,-32.7217,25.588,Mbali Lodge
658,Pleasanton,US,55.35,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
659,Te Anau,NZ,63.18,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
661,Palmital,BR,69.84,overcast clouds,-22.7889,-50.2175,OROFINO HOTEL CLUBE
